,image_id,Male,Bald
78,000079.jpg,1,1
114,000115.jpg,1,1
133,000134.jpg,1,1
181,000182.jpg,1,1
225,000226.jpg,1,1
298,000299.jpg,1,1
385,000386.jpg,1,1
401,000402.jpg,1,1
424,000425.jpg,1,1
622,000623.jpg,1,1
728,000729.jpg,1,1
901,000902.jpg,1,1
904,000905.jpg,1,1
906,000907.jpg,1,1
925,000926.jpg,1,1
937,000938.jpg,1,1
1071,001072.jpg,1,1
1099,001100.jpg,1,1
1104,001105.jpg,1,1
1116,001117.jpg,1,1
1148,001149.jpg,1,1
1191,001192.jpg,1,1
1206,001207.jpg,1,1
1207,001208.jpg,1,1
1321,001322.jpg,1,1
1367,001368.jpg,1,1
1382,001383.jpg,1,1
1397,001398.jpg,1,1
1399,001400.jpg,1,1
1470,001471.jpg,1,1
1518,001519.jpg,1,1
1655,001656.jpg,1,1
1668,001669.jpg,1,1
1683,001684.jpg,1,1
1705,001706.jpg,1,1
1765,001766.jpg,1,1
1916,001917.jpg,1,1
1923,001924.jpg,1,1
1998,001999.jpg,1,1
2003,002004.jpg,1,1
2029,002030.jpg,1,1
2080,002081.jpg,1,1
2275,002276.jpg,1,1
2304,002305.jpg,1,1
2358,002359.jpg,1,1
2362,002363.jpg,1,1
2515,002516.jpg,1,1
2527,002528.jpg,1,1
2672,002673.jpg,1,1
2722,002723.jpg,1,1
2743,002744.jpg,1,1
2771,002772.jpg,1,1
2827,002828.jpg,1,1
2873,002874.jpg,1,1
2934,002935.jpg,1,1
2959,002960.jpg,1,1
2960,002961.jpg,1,1
2979,002980.jpg,1,1
3026,003027.jpg,1,1
3316,003317.jpg,1,1
3383,003384.jpg,1,1
3453,003454.jpg,1,1
3510,003511.jpg,1,1
3526,003527.jpg,1,1
3575,003576.jpg,1,1
3643,003644.jpg,1,1
3677,003678.jpg,1,1
4022,004023.jpg,1,1
4057,004058.jpg,1,1
4108,004109.jpg,1,1
4190,004191.jpg,1,1
4248,004249.jpg,1,1
4249,004250.jpg,1,1
4316,004317.jpg,1,1
4329,004330.jpg,1,1
4381,004382.jpg,1,1
4448,004449.jpg,1,1
4454,004455.jpg,1,1
4491,004492.jpg,1,1
4610,004611.jpg,1,1
4811,004812.jpg,1,1
4851,004852.jpg,1,1
4975,004976.jpg,1,1
5001,005002.jpg,1,1
5011,005012.jpg,1,1
5025,005026.jpg,1,1
5041,005042.jpg,1,1
5076,005077.jpg,1,1
5139,005140.jpg,1,1
5145,005146.jpg,1,1
5157,005158.jpg,1,1
5162,005163.jpg,1,1
5164,005165.jpg,1,1
5199,005200.jpg,1,1
5294,005295.jpg,1,1
5317,005318.jpg,1,1
5352,005353.jpg,1,1
5590,005591.jpg,1,1
5701,005702.jpg,1,1
5720,005721.jpg,1,1
5725,005726.jpg,1,1
5730,005731.jpg,1,1
5788,005789.jpg,1,1
5838,005839.jpg,1,1
5958,005959.jpg,1,1
6037,006038.jpg,1,1
6173,006174.jpg,1,1
6211,006212.jpg,1,1
6218,006219.jpg,1,1
6241,006242.jpg,1,1
6299,006300.jpg,1,1
6341,006342.jpg,1,1
6388,006389.jpg,1,1
6390,006391.jpg,1,1
6493,006494.jpg,1,1
6554,006555.jpg,1,1
6602,006603.jpg,1,1
6645,006646.jpg,1,1
6669,006670.jpg,1,1
6672,006673.jpg,1,1
6710,006711.jpg,1,1
6878,006879.jpg,1,1
6941,006942.jpg,1,1
6965,006966.jpg,1,1
7050,007051.jpg,1,1
7151,007152.jpg,1,1
7386,007387.jpg,1,1
7398,007399.jpg,1,1
7400,007401.jpg,1,1
7426,007427.jpg,1,1
7431,007432.jpg,1,1
