,image_id,Male,Gray_Hair,split
6677,178981.jpg,1,1,0
4134,111917.jpg,1,1,0
9167,149751.jpg,0,0,0
3321,090301.jpg,1,1,0
5228,142289.jpg,1,1,0
1998,055422.jpg,1,1,0
6176,167382.jpg,0,1,0
10972,079961.jpg,0,0,0
4117,111356.jpg,0,1,0
1585,043886.jpg,1,1,0
11492,030291.jpg,0,0,0
2395,066868.jpg,1,1,0
7778,184198.jpg,1,0,0
13750,157971.jpg,0,0,0
3043,083755.jpg,1,1,0
5272,143107.jpg,1,1,0
2988,082068.jpg,1,1,0
10173,195003.jpg,0,0,0
11016,185787.jpg,0,0,0
10371,069753.jpg,0,0,0
13188,069441.jpg,0,0,0
14226,059617.jpg,0,0,0
9224,105297.jpg,0,0,0
4216,114035.jpg,1,1,0
2187,061187.jpg,1,1,0
7262,197539.jpg,1,1,0
9981,192171.jpg,0,0,0
1434,039156.jpg,1,1,0
9815,022688.jpg,0,0,0
5871,160204.jpg,1,1,0
9358,061949.jpg,0,0,0
5067,137897.jpg,1,1,0
6977,187569.jpg,0,1,0
2127,059055.jpg,1,1,0
671,018732.jpg,1,1,0
5547,151144.jpg,1,1,0
5500,149670.jpg,1,1,0
1334,036511.jpg,1,1,0
2411,067230.jpg,1,1,0
3593,097497.jpg,1,1,0
523,014124.jpg,1,1,0
2978,081756.jpg,0,1,0
13665,164972.jpg,0,0,0
2550,070923.jpg,1,1,0
7555,123916.jpg,1,0,0
8048,090343.jpg,1,0,0
9749,202212.jpg,0,0,0
7086,191681.jpg,1,1,0
14364,073207.jpg,0,0,0
576,015467.jpg,1,1,0
1186,032465.jpg,1,1,0
7706,063822.jpg,1,0,0
8762,060287.jpg,0,0,0
9363,126858.jpg,0,0,0
5572,151693.jpg,1,1,0
12216,071548.jpg,0,0,0
3610,097819.jpg,0,1,0
8154,160943.jpg,1,0,0
17,000444.jpg,1,1,0
13726,130675.jpg,0,0,0
12406,093440.jpg,0,0,0
4735,128487.jpg,1,1,0
9430,122146.jpg,0,0,0
13680,170831.jpg,0,0,0
12472,054721.jpg,0,0,0
3234,088344.jpg,0,1,0
8875,088682.jpg,0,0,0
3672,099330.jpg,1,1,0
9229,066424.jpg,0,0,0
8049,167367.jpg,1,0,0
2036,056630.jpg,0,1,0
12671,018526.jpg,0,0,0
2135,059464.jpg,1,1,0
8742,067864.jpg,0,0,0
9073,163004.jpg,0,0,0
3836,104359.jpg,1,1,0
1340,036614.jpg,1,1,0
3931,106571.jpg,1,1,0
2580,071581.jpg,1,1,0
13305,155803.jpg,0,0,0
3780,102673.jpg,0,1,0
10287,082473.jpg,0,0,0
480,012975.jpg,1,1,0
8676,103609.jpg,0,0,0
11343,092782.jpg,0,0,0
10077,015313.jpg,0,0,0
7433,107263.jpg,1,0,0
5665,154578.jpg,1,1,0
6120,166257.jpg,1,1,0
6666,178668.jpg,1,1,0
4418,119593.jpg,1,1,0
14624,199504.jpg,0,0,0
2015,055987.jpg,1,1,0
6197,167863.jpg,1,1,0
5325,144683.jpg,1,1,0
9751,073683.jpg,0,0,0
4513,122143.jpg,1,1,0
5294,143653.jpg,1,1,0
7692,162803.jpg,1,0,0
12997,167085.jpg,0,0,0
3695,099787.jpg,0,1,0
10878,104717.jpg,0,0,0
5062,137792.jpg,1,1,0
3414,093072.jpg,1,1,0
5482,149146.jpg,1,1,0
11199,149188.jpg,0,0,0
259,006412.jpg,1,1,0
5485,149204.jpg,1,1,0
1241,033751.jpg,1,1,0
6318,170768.jpg,1,1,0
2084,057808.jpg,0,1,0
7883,177460.jpg,1,0,0
10496,082064.jpg,0,0,0
7861,086307.jpg,1,0,0
2586,071746.jpg,1,1,0
12453,153894.jpg,0,0,0
647,017794.jpg,0,1,0
5323,144613.jpg,1,1,0
10387,168001.jpg,0,0,0
1794,049562.jpg,1,1,0
3063,084352.jpg,0,1,0
7105,192429.jpg,1,1,0
10324,187825.jpg,0,0,0
11355,087772.jpg,0,0,0
6200,167909.jpg,0,1,0
5606,152660.jpg,1,1,0
12217,114385.jpg,0,0,0
9785,021212.jpg,0,0,0
4819,130666.jpg,1,1,0
5592,152256.jpg,1,1,0
8799,012283.jpg,0,0,0
13996,106931.jpg,0,0,0
12716,094840.jpg,0,0,0
504,013555.jpg,1,1,0
12930,092948.jpg,0,0,0
1237,033691.jpg,0,1,0
11965,152052.jpg,0,0,0
5207,141762.jpg,1,1,0
7102,192411.jpg,1,1,0
7227,196565.jpg,1,1,0
7206,195761.jpg,1,1,0
12602,182012.jpg,0,0,0
747,020837.jpg,1,1,0
9860,120750.jpg,0,0,0
14763,053408.jpg,0,0,0
14538,048685.jpg,0,0,0
8451,021820.jpg,1,0,0
11520,022529.jpg,0,0,0
1239,033729.jpg,1,1,0
888,024671.jpg,1,1,0
2534,070489.jpg,1,1,0
8432,028118.jpg,1,0,0
7090,191765.jpg,1,1,0
8932,122398.jpg,0,0,0
8594,157820.jpg,1,0,0
718,019883.jpg,1,1,0
9168,164096.jpg,0,0,0
6955,186660.jpg,1,1,0
1918,052863.jpg,1,1,0
9543,061800.jpg,0,0,0
1368,037217.jpg,1,1,0
2766,076921.jpg,1,1,0
6842,183067.jpg,1,1,0
2788,077391.jpg,1,1,0
12236,000131.jpg,0,0,0
3910,105972.jpg,1,1,0
4512,122141.jpg,1,1,0
2102,058416.jpg,1,1,0
11689,164487.jpg,0,0,0
8162,182990.jpg,1,0,0
6186,167495.jpg,1,1,0
5590,152247.jpg,1,1,0
8647,121584.jpg,1,0,0
9497,175800.jpg,0,0,0
3082,084800.jpg,0,1,0
3354,091413.jpg,1,1,0
457,012151.jpg,0,1,0
12820,086637.jpg,0,0,0
10990,182901.jpg,0,0,0
14733,055683.jpg,0,0,0
11435,147233.jpg,0,0,0
12398,125299.jpg,0,0,0
5635,153468.jpg,1,1,0
12701,013953.jpg,0,0,0
6618,177596.jpg,0,1,0
6486,174689.jpg,1,1,0
4718,127963.jpg,0,1,0
1627,045224.jpg,1,1,0
6742,180502.jpg,1,1,0
12442,200390.jpg,0,0,0
8624,070910.jpg,1,0,0
2224,062331.jpg,1,1,0
4255,115295.jpg,1,1,0
1330,036253.jpg,1,1,0
1361,037101.jpg,0,1,0
6884,184505.jpg,1,1,0
13427,110778.jpg,0,0,0
2659,074040.jpg,1,1,0
4595,124595.jpg,1,1,0
4697,127392.jpg,1,1,0
13875,056765.jpg,0,0,0
14764,160752.jpg,0,0,0
7266,197694.jpg,1,1,0
14579,161016.jpg,0,0,0
9868,139852.jpg,0,0,0
11707,138939.jpg,0,0,0
10074,113452.jpg,0,0,0
13787,183934.jpg,0,0,0
1916,052857.jpg,0,1,0
33,000779.jpg,1,1,0
12352,018958.jpg,0,0,0
12162,033496.jpg,0,0,0
3471,094387.jpg,1,1,0
12535,108950.jpg,0,0,0
5393,146545.jpg,0,1,0
2704,075261.jpg,1,1,0
3275,089209.jpg,1,1,0
772,021409.jpg,1,1,0
5189,141071.jpg,1,1,0
8355,121691.jpg,1,0,0
7825,123121.jpg,1,0,0
8440,127936.jpg,1,0,0
13018,015878.jpg,0,0,0
9334,043398.jpg,0,0,0
9298,002994.jpg,0,0,0
7000,188390.jpg,1,1,0
13147,167947.jpg,0,0,0
5220,142059.jpg,1,1,0
1383,037664.jpg,0,1,0
8019,195404.jpg,1,0,0
10427,122359.jpg,0,0,0
10409,126532.jpg,0,0,0
10218,093347.jpg,0,0,0
4671,126560.jpg,1,1,0
3547,096337.jpg,1,1,0
9999,178581.jpg,0,0,0
8347,107404.jpg,1,0,0
14680,042249.jpg,0,0,0
12259,000371.jpg,0,0,0
9291,141507.jpg,0,0,0
1748,048306.jpg,0,1,0
4650,126163.jpg,1,1,0
3725,100546.jpg,1,1,0
7004,188494.jpg,1,1,0
6721,180054.jpg,1,1,0
7879,105910.jpg,1,0,0
358,009440.jpg,1,1,0
2578,071475.jpg,0,1,0
8783,190646.jpg,0,0,0
9144,033332.jpg,0,0,0
8753,123932.jpg,0,0,0
12168,144293.jpg,0,0,0
2567,071343.jpg,1,1,0
12810,163361.jpg,0,0,0
8509,068541.jpg,1,0,0
8997,130229.jpg,0,0,0
9119,038977.jpg,0,0,0
5679,155029.jpg,1,1,0
339,008966.jpg,1,1,0
2232,062604.jpg,1,1,0
2754,076657.jpg,1,1,0
9316,057401.jpg,0,0,0
5480,149127.jpg,1,1,0
7033,189586.jpg,1,1,0
8713,123499.jpg,0,0,0
5896,160814.jpg,1,1,0
14550,006652.jpg,0,0,0
4825,130815.jpg,1,1,0
14392,080342.jpg,0,0,0
13475,168856.jpg,0,0,0
14657,190625.jpg,0,0,0
6728,180181.jpg,0,1,0
13544,119486.jpg,0,0,0
9175,176141.jpg,0,0,0
2183,061167.jpg,0,1,0
3060,084316.jpg,0,1,0
8964,167346.jpg,0,0,0
12974,098617.jpg,0,0,0
9011,020092.jpg,0,0,0
3411,093023.jpg,1,1,0
2133,059434.jpg,1,1,0
13445,019401.jpg,0,0,0
8561,185198.jpg,1,0,0
4349,117860.jpg,1,1,0
12726,091469.jpg,0,0,0
1145,031397.jpg,0,1,0
10793,015048.jpg,0,0,0
2106,058543.jpg,1,1,0
2734,076158.jpg,1,1,0
14252,198588.jpg,0,0,0
481,013069.jpg,1,1,0
7489,054233.jpg,1,0,0
955,026117.jpg,1,1,0
1831,050473.jpg,1,1,0
8831,191269.jpg,0,0,0
127,002835.jpg,1,1,0
13538,059664.jpg,0,0,0
5233,142379.jpg,1,1,0
13362,101252.jpg,0,0,0
10993,082617.jpg,0,0,0
10254,005864.jpg,0,0,0
13484,183868.jpg,0,0,0
10540,001064.jpg,0,0,0
13988,072020.jpg,0,0,0
13694,082783.jpg,0,0,0
14508,015580.jpg,0,0,0
95,002106.jpg,1,1,0
4202,113603.jpg,1,1,0
5524,150221.jpg,0,1,0
5116,139144.jpg,1,1,0
9098,014202.jpg,0,0,0
11058,167490.jpg,0,0,0
4245,115029.jpg,1,1,0
5966,162603.jpg,1,1,0
11914,022005.jpg,0,0,0
4399,119143.jpg,0,1,0
14320,186221.jpg,0,0,0
6754,180721.jpg,1,1,0
